,close
20070330,32350
20070329,32850
20070328,32150
20070327,32850
20070326,33000
20070323,33400
20070322,32850
20070321,32250
20070320,32400
20070319,32800
20070316,32850
20070315,32050
20070314,32000
20070313,32100
20070312,33600
20070309,33650
20070308,34850
20070307,35150
20070306,35900
20070305,35400
20070302,35950
20070228,35450
20070227,36600
20070226,37100
20070223,36850
20070222,37550
20070221,37850
20070220,37950
20070216,37250
20070215,37200
20070214,37100
20070213,36550
20070212,34950
20070209,35600
20070208,36450
20070207,36500
20070206,36900
20070205,36300
20070202,36200
20070201,35000
20070131,34300
20070130,34950
20070129,35650
20070126,37150
20070125,37800
20070124,38250
20070123,36600
20070122,36650
20070119,36600
20070118,38700
20070117,39150
20070116,40600
20070115,41100
20070112,41200
20070111,40700
20070110,40400
20070109,41350
20070108,40850
20070105,41700
20070104,42100
20070103,42500
20070102,43300
20061228,43350
20061227,43100
20061226,42200
20061222,42550
20061221,43150
20061220,42950
20061219,43300
20061218,43950
20061215,42850
20061214,41900
20061213,40450
20061212,39950
20061211,41150
20061208,41100
20061207,41450
20061206,41050
20061205,42000
20061204,41550
20061201,42100
20061130,41950
20061129,42900
20061128,42800
20041110,26000
20041109,26000
20041108,25650
20041105,26700
20041104,25900
20041103,26200
20041102,26100
20041101,24350
20041029,24000
20041028,24450
20041027,24400
20041026,25050
20041025,24400
20041022,25400
20041021,25350
20041020,26650
20041019,26650
20041018,27700
20041015,27500
20041014,28000
20041013,27800
20041012,28350
20041011,29000
20041008,29250
20041007,29450
20041006,29750
20041005,30350
20041004,30500
20041001,29550
20040930,29500
20040924,28800
20040923,28900
20040922,29400
20040921,30600
20040920,30800
20040917,30700
20040916,30500
20040915,30700
20040914,31100
20040913,31950
20040910,31950
20040909,31000
20040908,30700
20040907,30700
20040906,30750
20040903,31300
20040902,32000
20040901,31800
20040831,30500
20040830,31050
20040827,32350
20040826,31400
20040825,31250
20040824,31350
20040823,31250
20040820,30300
20040819,29500
20040818,27900
20040817,27950
20040816,28250
20040813,28600
20040812,28000
20040811,28300
20040810,28300
20040809,27700
20040806,27450
20040805,27950
20040804,26650
20040803,26700
20040802,26750
20040730,28150
20040729,28550
20040728,29200
20040727,29400
20040726,29800
20040723,30400
20040722,30800
20040721,31000
20040720,30100
20040719,31000
20040716,30800
20040715,30400
20040714,30600
20040713,31450
20040712,30900
20040709,30650
20040708,30250
20040707,30800
20040706,31100
20040705,31600
20020604,73900
20020603,73900
20020531,71500
20020530,74700
20020529,77100
20020528,79500
20020527,79900
20020524,81000
20020523,80200
20020522,82300
20020521,79100
20020520,81500
20020517,83400
20020516,80000
20020515,79800
20020514,77000
20020513,73600
20020510,74000
20020509,78100
20020508,78300
20020507,75500
20020506,73500
20020503,78600
20020502,78000
20020430,76200
20020429,74900
20020426,79200
20020425,78100
20020424,82000
20020423,85700
20020422,88300
20020419,87000
20020418,86500
20020417,86200
20020416,77000
20020415,77000
20020412,74800
20020411,73900
20020410,71000
20020409,77200
20020408,81500
20020404,84100
20020403,85800
20020402,81100
20020401,74700
20020329,77500
20020328,77000
20020327,75200
20020326,71500
20020325,73000
20020322,72400
20020321,71500
20020320,74100
20020319,72800
20020318,70100
20020315,69300
20020314,69400
20020313,68800
20020312,68200
20020311,59700
20020308,60000
20020307,60300
20020306,60200
20020305,60400
20020304,59900
20020228,58800
20020227,59000
20020226,56900
20020225,56200
20020222,56500
20020221,57100
20020220,58000
20020219,59300
20020218,59000
20020215,58600
20020214,56500
20020208,51800
20020207,50400
20020206,51000
20020205,51500
20020204,50600
20020201,52200
20020131,53200
20020130,49900
20020129,52800
20020128,53200
20020125,53800
20020124,51100
20020123,49600
20020122,48700
19991215,78000
19991214,83000
19991213,84000
19991210,85200
19991209,88000
19991208,90000
19991207,89000
19991206,90000
19991203,82500
19991202,84500
19991201,90500
19991130,90000
19991129,84900
19991126,77700
19991125,73000
19991124,69500
19991123,70400
19991122,70400
19991119,72000
19991118,71800
19991117,72600
19991116,74000
19991115,73000
19991112,72000
19991111,68500
19991110,70000
19991109,71300
19991108,69000
19991105,67500
19991104,67100
19991103,64500
19991102,62200
19991101,60000
19991029,58000
19991028,57000
19991027,53600
19991026,54000
